O1 	 27.501000 	 -1.633000 	 -11.464000 	 -0.641
C2 	 27.157000 	 -0.284000 	 -11.400000 	 0.346
C3 	 26.689000 	 0.333000 	 -12.703000 	 -0.176
C4 	 25.197000 	 0.038000 	 -12.769000 	 0.264
C5 	 24.811000 	 -0.150000 	 -11.311000 	 -0.150
C6 	 25.959000 	 -0.266000 	 -10.526000 	 -0.126
C7 	 25.897000 	 -0.631000 	 -9.185000 	 0.070
C8 	 24.641000 	 -0.855000 	 -8.622000 	 -0.153
C9 	 23.484000 	 -0.675000 	 -9.376000 	 -0.285
C10 	 23.556000 	 -0.340000 	 -10.733000 	 0.298
O11 	 22.460000 	 -0.188000 	 -11.556000 	 -0.279
C12 	 21.210000 	 -0.548000 	 -11.122000 	 0.256
C13 	 20.741000 	 -1.839000 	 -11.355000 	 -0.346
C14 	 19.479000 	 -2.210000 	 -10.904000 	 0.341
F15 	 19.008000 	 -3.446000 	 -11.160000 	 -0.195
C16 	 18.698000 	 -1.307000 	 -10.189000 	 -0.203
C17 	 19.161000 	 -0.012000 	 -9.954000 	 -0.003
CL18 	 18.213000 	 1.122000 	 -9.064000 	 -0.062
C19 	 20.410000 	 0.368000 	 -10.438000 	 -0.161
S20 	 27.394000 	 -0.985000 	 -8.232000 	 0.801
O21 	 26.955000 	 -1.819000 	 -7.114000 	 -0.518
O22 	 28.473000 	 -1.492000 	 -9.081000 	 -0.487
C23 	 28.002000 	 0.718000 	 -7.690000 	 0.153
F24 	 28.177000 	 1.477000 	 -8.768000 	 -0.143
F25 	 27.164000 	 1.279000 	 -6.827000 	 -0.155
C26 	 24.443000 	 1.136000 	 -13.494000 	 -0.301
H27 	 26.774000 	 -2.146000 	 -11.836000 	 0.413
H28 	 27.981000 	 0.316000 	 -11.012000 	 0.046
H29 	 26.856000 	 1.411000 	 -12.645000 	 0.053
H30 	 27.225000 	 -0.013000 	 -13.585000 	 0.053
H31 	 25.050000 	 -0.900000 	 -13.305000 	 -0.007
H32 	 24.554000 	 -1.233000 	 -7.612000 	 0.187
H33 	 22.527000 	 -0.833000 	 -8.919000 	 0.178
H34 	 21.360000 	 -2.558000 	 -11.869000 	 0.207
H35 	 17.745000 	 -1.633000 	 -9.814000 	 0.170
H36 	 20.760000 	 1.372000 	 -10.264000 	 0.156
H37 	 28.967000 	 0.560000 	 -7.223000 	 0.183
H38 	 23.485000 	 0.767000 	 -13.830000 	 0.072
H39 	 24.981000 	 1.487000 	 -14.367000 	 0.072
H40 	 24.285000 	 1.969000 	 -12.819000 	 0.072
