N1 	 24.610000 	 41.576000 	 3.180000 	 -0.259
C2 	 25.101000 	 42.942000 	 2.924000 	 -0.008
C3 	 26.527000 	 43.212000 	 3.440000 	 -0.096
C4 	 27.512000 	 42.177000 	 2.886000 	 0.515
C5 	 27.008000 	 40.819000 	 3.401000 	 -0.172
C6 	 25.591000 	 40.514000 	 2.862000 	 -0.023
C7 	 19.689000 	 40.580000 	 5.695000 	 0.174
C8 	 19.525000 	 40.862000 	 7.066000 	 0.037
C9 	 18.310000 	 40.569000 	 7.702000 	 -0.000
C10 	 17.259000 	 40.021000 	 6.971000 	 -0.080
C11 	 17.413000 	 39.742000 	 5.615000 	 -0.156
C12 	 18.622000 	 40.021000 	 4.982000 	 -0.247
C13 	 20.986000 	 40.808000 	 5.004000 	 0.020
N14 	 20.994000 	 41.764000 	 4.040000 	 -0.421
C15 	 22.156000 	 42.016000 	 3.379000 	 0.222
C16 	 23.343000 	 41.317000 	 3.706000 	 0.304
N17 	 23.307000 	 40.337000 	 4.652000 	 -0.585
C18 	 22.143000 	 40.074000 	 5.286000 	 0.665
CL19 	 18.079000 	 40.870000 	 9.388000 	 -0.071
CL20 	 20.804000 	 41.619000 	 7.963000 	 -0.086
N21 	 22.146000 	 39.039000 	 6.216000 	 -1.076
N22 	 28.877000 	 42.451000 	 3.525000 	 -0.904
C23 	 27.712000 	 42.252000 	 1.355000 	 -0.726
H24 	 25.025000 	 43.164000 	 1.859000 	 0.062
H25 	 24.448000 	 43.623000 	 3.459000 	 0.062
H26 	 26.507000 	 43.214000 	 4.531000 	 0.067
H27 	 26.835000 	 44.220000 	 3.180000 	 0.067
H28 	 26.967000 	 40.788000 	 4.495000 	 0.086
H29 	 27.696000 	 40.023000 	 3.144000 	 0.086
H30 	 25.608000 	 40.384000 	 1.778000 	 0.091
H31 	 25.276000 	 39.554000 	 3.268000 	 0.091
H32 	 16.324000 	 39.787000 	 7.463000 	 0.147
H33 	 18.735000 	 39.775000 	 3.935000 	 0.189
C34 	 21.994000 	 42.979000 	 2.203000 	 -0.222
H35 	 23.010000 	 38.539000 	 6.406000 	 0.465
H36 	 21.298000 	 38.823000 	 6.715000 	 0.424
H37 	 29.559000 	 41.775000 	 3.181000 	 0.453
H38 	 26.788000 	 42.082000 	 0.805000 	 0.210
H39 	 28.432000 	 41.507000 	 1.013000 	 0.210
H40 	 28.079000 	 43.232000 	 1.045000 	 0.210
H41 	 29.196000 	 43.378000 	 3.276000 	 0.449
H42 	 16.605000 	 39.294000 	 5.054000 	 0.174
H43 	 21.238000 	 43.736000 	 2.412000 	 0.071
H44 	 21.679000 	 42.424000 	 1.319000 	 0.071
H45 	 22.890000 	 43.517000 	 1.921000 	 0.071
H46 	 28.826000 	 42.395000 	 4.534000 	 0.441
